Fecha,Usuarios activos,Sesiones,Usuarios nuevos
2 may 2025,1,1,1
3 may 2025,1,1,0
23 nov 2025,73,80,73
24 nov 2025,30,32,29
25 nov 2025,13,15,13
26 nov 2025,13,14,11
27 nov 2025,6,6,5
28 nov 2025,4,5,4
29 nov 2025,10,10,10
30 nov 2025,45,48,43
1 dic 2025,34,34,33
2 dic 2025,8,8,7
3 dic 2025,44,47,43
4 dic 2025,88,105,85
5 dic 2025,58,67,57
6 dic 2025,37,44,37
7 dic 2025,47,53,47
8 dic 2025,62,67,62
9 dic 2025,23,27,21
10 dic 2025,17,23,14
11 dic 2025,15,16,13
12 dic 2025,5,6,5
13 dic 2025,8,8,8
14 dic 2025,21,22,20
15 dic 2025,15,15,15
16 dic 2025,8,9,8
17 dic 2025,3,5,3
18 dic 2025,12,14,12
19 dic 2025,12,13,12
20 dic 2025,23,24,23
21 dic 2025,11,12,11
22 dic 2025,9,10,9
23 dic 2025,14,16,14
24 dic 2025,7,10,7
25 dic 2025,3,5,3
26 dic 2025,2,3,2
27 dic 2025,8,8,8
28 dic 2025,10,11,9
29 dic 2025,21,24,20
30 dic 2025,119,130,118
31 dic 2025,35,51,29
1 ene 2026,13,17,13
2 ene 2026,7,9,7
3 ene 2026,2,2,2
4 ene 2026,3,3,3
5 ene 2026,1,1,1
7 ene 2026,3,3,3
8 ene 2026,4,4,3
9 ene 2026,1,2,1
10 ene 2026,2,2,2
11 ene 2026,4,4,4
13 ene 2026,1,1,1
14 ene 2026,2,2,2
15 ene 2026,2,2,2
17 ene 2026,1,1,2
19 ene 2026,2,5,2
20 ene 2026,4,6,2
21 ene 2026,3,4,2
22 ene 2026,2,3,2
23 ene 2026,1,1,1
25 ene 2026,2,2,2
27 ene 2026,1,1,1
28 ene 2026,4,4,4
29 ene 2026,2,2,1
30 ene 2026,2,2,2
31 ene 2026,1,2,1
1 feb 2026,2,2,2
2 feb 2026,2,2,1
3 feb 2026,1,1,1
4 feb 2026,2,2,1
5 feb 2026,2,2,2
6 feb 2026,5,5,5
8 feb 2026,1,1,1
9 feb 2026,2,2,2
10 feb 2026,1,1,0
12 feb 2026,1,1,1
13 feb 2026,3,3,2
15 feb 2026,2,2,2
16 feb 2026,1,2,0
17 feb 2026,0,1,0
18 feb 2026,2,2,2
19 feb 2026,1,1,1
22 feb 2026,1,1,1
24 feb 2026,2,5,2
25 feb 2026,1,1,1
26 feb 2026,1,1,1
27 feb 2026,2,3,2
28 feb 2026,2,4,1
1 mar 2026,6,6,6
2 mar 2026,14,17,10
3 mar 2026,3,4,2
4 mar 2026,5,5,4
6 mar 2026,0,1,0
7 mar 2026,2,2,2
8 mar 2026,1,1,1
9 mar 2026,11,11,11
10 mar 2026,2,4,1
11 mar 2026,5,6,3
12 mar 2026,4,7,3
13 mar 2026,3,4,2
14 mar 2026,3,5,2
15 mar 2026,3,3,2
16 mar 2026,3,3,3
17 mar 2026,1,1,1
19 mar 2026,2,4,2
22 mar 2026,2,2,2
23 mar 2026,2,3,1
24 mar 2026,3,4,3
25 mar 2026,2,2,2
27 mar 2026,2,2,1
28 mar 2026,1,1,1
29 mar 2026,6,7,6
30 mar 2026,6,6,6
31 mar 2026,11,18,11
1 abr 2026,5,5,4
2 abr 2026,2,4,2
3 abr 2026,4,9,3
4 abr 2026,3,3,2
5 abr 2026,6,6,5
6 abr 2026,2,5,1
8 abr 2026,2,2,2
9 abr 2026,1,2,1
10 abr 2026,4,5,4
11 abr 2026,5,10,2
12 abr 2026,2,3,0
13 abr 2026,2,2,1
14 abr 2026,1,1,1
16 abr 2026,1,1,1
17 abr 2026,1,2,0
18 abr 2026,2,3,2
19 abr 2026,1,1,0
20 abr 2026,3,3,3
21 abr 2026,1,1,1
22 abr 2026,2,3,2
23 abr 2026,69,74,65
24 abr 2026,32,33,32
25 abr 2026,30,32,29
26 abr 2026,12,12,11
27 abr 2026,7,8,7
28 abr 2026,7,9,6
29 abr 2026,6,7,5
30 abr 2026,6,6,4
1 may 2026,7,8,5
2 may 2026,8,9,7
3 may 2026,7,8,6
4 may 2026,6,6,6
5 may 2026,2,2,2
6 may 2026,3,4,2
9 may 2026,3,5,2
10 may 2026,2,2,2
11 may 2026,1,1,1
12 may 2026,3,3,3
13 may 2026,4,4,4
14 may 2026,1,2,0
15 may 2026,4,5,3
16 may 2026,0,1,0
17 may 2026,6,6,5
18 may 2026,3,4,2
19 may 2026,6,10,4
20 may 2026,2,4,1
21 may 2026,1,1,0
22 may 2026,12,12,10
23 may 2026,1,2,1
25 may 2026,2,4,2
26 may 2026,2,3,1
27 may 2026,2,2,1
28 may 2026,1,1,1
29 may 2026,3,3,2
30 may 2026,2,2,0
31 may 2026,9,10,8
1 jun 2026,6,6,6
2 jun 2026,3,3,3
3 jun 2026,8,11,6
4 jun 2026,2,2,0